10,14,8,7,9,12,1,3,5,15,6,11,4,16,2,13
1,4,15,9,6,2,16,10,13,3,7,12,14,8,11,5
13,11,3,6,4,8,7,5,16,9,14,2,10,12,15,1
12,5,16,2,11,14,13,15,8,10,1,4,6,7,3,9
9,3,2,12,7,4,11,16,15,6,5,13,1,10,8,14
11,16,13,14,8,6,5,1,10,2,3,9,12,4,7,15
7,15,10,8,2,9,3,12,1,14,4,16,5,6,13,11
4,6,5,1,15,13,10,14,11,7,12,8,2,9,16,3
2,1,12,10,11,7,9,8,14,5,16,15,3,13,6,4
8,7,14,3,5,10,4,13,6,11,9,1,16,15,12,2
16,13,6,11,14,1,15,2,12,4,10,3,7,5,9,8
5,9,4,15,3,16,12,6,7,13,2,0,11,1,14,10
14,12,11,16,13,5,8,4,3,1,15,7,9,2,10,6
15,2,7,5,10,3,6,9,4,12,13,14,8,11,1,16
6,8,9,4,1,15,14,7,2,16,11,10,13,3,5,12
3,10,1,13,16,11,12,2,9,8,0,5,15,14,4,7
