12,10,8,9,2,6,15,5,4,3,7,11,14,16,13,1
1,15,5,2,4,8,14,7,9,13,10,16,11,12,6,3
11,14,16,7,13,3,9,12,1,6,2,5,4,8,10,15
4,13,6,3,11,1,10,16,14,8,15,12,2,5,7,9
13,5,7,11,12,9,3,2,6,15,1,8,10,4,16,14
9,3,15,4,8,13,1,11,7,10,16,14,12,6,2,5
10,16,1,8,5,15,6,14,13,4,12,2,3,11,9,7
6,2,12,14,7,16,4,10,3,5,11,9,13,15,1,8
15,9,10,16,3,2,5,8,12,11,13,4,7,1,14,6
5,8,14,12,6,4,7,13,2,9,3,1,16,10,15,11
3,4,11,1,10,14,16,15,5,7,8,6,9,2,12,13
7,6,2,13,9,11,12,1,10,16,14,15,8,3,5,4
8,11,9,10,14,12,2,3,15,1,6,13,5,7,4,16
14,12,13,15,16,5,8,6,11,2,4,7,1,9,3,10
2,1,3,5,15,7,11,4,16,14,9,10,6,13,8,12
16,7,4,6,1,10,13,9,8,12,5,3,15,14,11,2
