0,0,3,11,0,0,14,0,16,1,12,0,0,9,0,0
0,9,4,0,6,16,0,0,0,0,0,10,0,0,0,0
0,16,6,0,0,0,0,0,13,0,0,9,14,0,2,0
0,0,0,0,12,3,0,0,0,0,15,0,6,0,4,8
0,0,0,0,0,15,4,6,5,0,14,0,0,0,9,0
0,8,0,0,3,0,0,10,0,11,6,0,0,2,0,0
14,5,0,0,0,0,0,12,0,7,0,0,0,0,0,0
0,12,10,3,0,0,1,8,0,9,0,0,0,0,14,0
2,0,0,0,0,10,0,0,12,0,0,0,3,11,13,7
0,0,0,10,0,8,0,1,0,0,9,0,0,14,0,0
0,14,0,0,0,0,0,0,0,3,8,0,0,6,0,0
0,0,0,0,0,0,0,7,10,0,0,0,12,0,0,15
13,0,0,0,0,1,0,5,0,8,0,0,0,4,6,9
0,0,0,0,0,12,8,0,0,13,0,0,0,0,0,0
0,1,7,4,16,0,0,13,2,0,0,0,8,3,0,11
0,3,0,9,7,6,0,14,15,0,0,0,0,0,0,1
